Problem,ms,stepcount,lvl0ccMax,lvl0ccMin,lvl2isolated,lvl1ccMin,lvl0isolated,lvl0order,lvl3size,lvl1isolated,lvl1size,lvl2order,lvl3order,lvl0size,lvl2ccMax,lvl1ccCount,lvl1ccMax,lvl2ccMin,lvl2ccCount,lvl3ccCount,lvl3isolated,lvl1order,lvl3ccMin,lvl2size,lvl3ccMax,lvl0ccCount
strips-movie-x-23,48,7,4,3,0,8,0,409,1,0,558,423,143,273,83,6,83,8,6,142,141,423,1,558,2,136
strips-movie-x-24,50,7,4,3,0,8,0,424,1,0,578,438,148,283,86,6,86,8,6,147,146,438,1,578,2,141
strips-movie-x-25,52,7,4,3,0,8,0,439,1,0,598,453,153,293,89,6,89,8,6,152,151,453,1,598,2,146
strips-movie-x-26,54,7,4,3,0,8,0,454,1,0,618,468,158,303,92,6,92,8,6,157,156,468,1,618,2,151
strips-movie-x-27,57,7,4,3,0,8,0,469,1,0,638,483,163,313,95,6,95,8,6,162,161,483,1,638,2,156
strips-movie-x-28,62,7,4,3,0,8,0,484,1,0,658,498,168,323,98,6,98,8,6,167,166,498,1,658,2,161
strips-movie-x-29,64,7,4,3,0,8,0,499,1,0,678,513,173,333,101,6,101,8,6,172,171,513,1,678,2,166
strips-movie-x-3,19,7,4,3,0,8,0,109,1,0,158,123,43,73,23,6,23,8,6,42,41,123,1,158,2,36
strips-movie-x-30,67,7,4,3,0,8,0,514,1,0,698,528,178,343,104,6,104,8,6,177,176,528,1,698,2,171
strips-movie-x-4,20,7,4,3,0,8,0,124,1,0,178,138,48,83,26,6,26,8,6,47,46,138,1,178,2,41
strips-movie-x-5,21,7,4,3,0,8,0,139,1,0,198,153,53,93,29,6,29,8,6,52,51,153,1,198,2,46
strips-movie-x-6,22,7,4,3,0,8,0,154,1,0,218,168,58,103,32,6,32,8,6,57,56,168,1,218,2,51
strips-movie-x-7,22,7,4,3,0,8,0,169,1,0,238,183,63,113,35,6,35,8,6,62,61,183,1,238,2,56
strips-movie-x-8,23,7,4,3,0,8,0,184,1,0,258,198,68,123,38,6,38,8,6,67,66,198,1,258,2,61
strips-movie-x-9,25,7,4,3,0,8,0,199,1,0,278,213,73,133,41,6,41,8,6,72,71,213,1,278,2,66
strips-mprime-x-1,2451,11,62,2,0,2,0,120,193,0,2906,329,90,177,297,24,164,2,17,45,44,210,1,12614,46,30
strips-mprime-x-11,7005,17,71,2,0,2,0,157,363,0,2479,380,115,225,360,29,191,2,11,55,54,247,1,12425,61,44
strips-mprime-x-12,8670,9,116,2,0,2,0,164,684,0,8395,639,151,290,625,13,312,2,8,54,53,336,1,52249,98,25
strips-mprime-x-16,207350,13,191,2,0,2,0,243,1535,0,10245,902,245,527,890,7,480,2,7,70,69,492,1,53501,176,27
strips-mprime-x-17,608495,4,315,2,0,2,0,403,3459,0,37143,1938,425,1374,1926,13,965,2,7,107,105,989,1,196803,314,45
strips-mprime-x-2,2839,13,155,2,0,2,0,227,2632,0,6272,746,250,379,736,6,391,2,6,69,67,401,1,38153,180,37
strips-mprime-x-21,1063,7,194,2,0,2,0,330,1213,0,2734,640,258,467,604,39,389,2,19,102,100,465,1,10005,79,69
strips-mprime-x-25,276,6,39,2,0,2,0,97,86,0,841,188,68,95,176,9,120,2,7,39,36,136,1,2475,26,30
strips-mprime-x-26,19230,7,160,2,0,2,0,232,945,0,12588,839,208,488,827,15,467,2,7,74,73,495,1,52829,135,37
strips-mprime-x-27,67421,8,137,2,0,2,0,207,720,0,27437,1144,173,602,1118,14,518,2,14,68,66,544,1,177990,100,36
strips-mprime-x-28,2957,14,63,2,0,2,0,129,255,0,3532,333,94,174,317,15,194,2,9,48,45,222,1,12948,41,34
strips-mprime-x-29,13495,7,119,2,0,2,0,205,959,0,15353,905,175,516,883,26,412,2,12,65,63,462,1,95190,105,44
strips-mprime-x-3,10195,6,130,2,0,2,0,204,807,0,4203,539,180,306,529,14,318,2,6,66,65,344,1,17786,115,38
strips-mprime-x-4,3720,12,48,2,0,2,0,164,185,0,708,252,104,164,204,49,108,2,25,66,63,204,1,2874,37,59
strips-mprime-x-5,1289,15,97,2,0,2,0,193,928,0,1840,395,164,247,341,40,192,2,28,70,69,270,1,8469,95,49
strips-mprime-x-7,1345,6,79,2,0,2,0,235,791,0,1134,337,156,254,237,62,161,2,51,91,90,283,1,3877,66,79
strips-mprime-x-8,31990,10,141,2,0,2,0,293,1395,0,4850,723,258,464,703,28,409,2,11,94,93,463,1,24426,165,66
strips-mprime-x-9,2047,16,146,2,0,2,0,184,1321,0,2527,438,182,327,428,6,280,2,6,55,54,290,1,9846,128,20
strips-mysty-x-1,40,5,33,2,0,2,0,111,129,0,241,143,70,86,107,30,68,2,19,46,45,126,1,612,25,40
strips-mysty-x-10,9163,8,263,2,0,2,0,455,6983,0,7107,1218,490,649,1194,28,650,2,13,138,136,704,1,48491,351,97
strips-mysty-x-11,109,7,38,2,0,2,0,146,282,0,386,202,95,115,162,39,90,2,21,59,58,166,1,1617,37,55
strips-mysty-x-13,1789,16,257,2,0,2,0,477,3117,0,3895,918,400,661,874,45,566,2,23,147,145,654,1,17952,246,111
strips-mysty-x-17,1746,4,245,2,0,2,0,351,3451,0,5621,1069,391,529,1051,17,542,2,10,108,107,574,1,45057,284,54
strips-mysty-x-19,877,8,197,2,0,2,0,301,1906,0,2481,626,270,409,582,32,374,2,23,100,99,436,1,12371,171,53
strips-mysty-x-2,409,9,146,2,0,2,0,224,2673,0,4063,695,249,344,685,6,355,2,6,69,67,365,1,31852,179,40
strips-mysty-x-25,46,6,39,2,0,2,0,97,112,0,719,176,68,95,164,9,116,2,7,38,36,132,1,2056,29,30
strips-mysty-x-26,685,10,119,2,0,2,0,211,650,0,1231,406,170,237,380,24,237,2,14,77,76,283,1,6964,94,47
strips-mysty-x-27,281,7,88,2,0,2,0,182,706,0,2002,422,153,221,394,18,226,2,15,67,66,260,1,12918,87,48
strips-mysty-x-28,64,7,38,2,0,2,0,122,214,0,528,182,80,103,160,19,111,2,12,46,45,147,1,1725,35,43
strips-mysty-x-29,107,4,71,2,0,2,0,181,906,0,1391,341,145,191,299,36,167,2,22,68,67,237,1,7160,78,56
strips-mysty-x-3,197,4,111,2,0,2,0,197,955,0,1761,437,175,231,421,19,244,2,9,67,66,280,1,10141,109,44
strips-mysty-x-30,7729,13,106,2,0,2,0,261,1025,0,2025,572,223,279,546,22,320,2,14,95,93,362,1,13900,128,67
strips-mysty-x-9,165,8,141,2,0,2,0,183,1077,0,2091,404,170,318,388,9,261,2,9,56,55,277,1,7659,115,22
mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,1270,15,54,2,0,2,0,152,112,0,6155,266,86,165,258,6,247,2,5,71,70,257,1,6708,16,50
mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,7430,18,49,2,0,2,0,151,99,0,6049,265,85,152,255,6,245,2,6,71,70,255,1,6595,15,52
mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,20410,19,59,2,0,2,0,205,146,0,12026,366,114,207,354,7,342,2,7,97,96,354,1,12958,18,74
mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,20330,19,64,2,0,2,0,206,162,0,12177,367,115,222,357,7,344,2,6,97,96,356,1,13117,19,72
mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,92480,22,79,2,0,2,0,269,239,0,22069,485,149,304,475,8,459,2,6,127,126,473,1,23551,23,96
mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,634800,25,74,2,0,2,0,268,222,0,21868,484,148,287,472,8,457,2,7,127,126,471,1,23344,22,98
mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,450,40,79,2,0,2,0,337,266,0,36234,616,184,341,600,9,584,2,9,161,160,600,1,38402,24,130
mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,480,41,84,2,0,2,0,338,290,0,36501,617,185,360,603,9,586,2,8,161,160,602,1,38687,25,128
mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,640,47,94,2,0,2,0,416,367,0,57537,766,226,441,750,10,731,2,9,199,198,749,1,60623,28,162
mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,620,47,99,2,0,2,0,417,389,0,57866,767,227,462,753,10,733,2,8,199,198,751,1,60953,29,160
mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,770,50,104,2,0,2,0,502,452,0,86635,931,271,530,913,11,892,2,10,241,240,912,1,90843,31,200
mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,880,53,114,2,0,2,0,504,504,0,87448,933,273,576,919,11,896,2,8,241,240,916,1,91673,33,196
mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,1030,56,109,2,0,2,0,595,515,0,125145,1111,319,602,1089,12,1067,2,12,287,286,1089,1,130703,33,244
mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,1020,53,109,2,0,2,0,595,515,0,125145,1111,319,602,1089,12,1067,2,12,287,286,1089,1,130703,33,244
mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,1380,63,119,2,0,2,0,697,615,0,176007,1308,372,705,1284,13,1260,2,13,337,336,1284,1,183195,36,290
mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,1390,64,119,2,14,2,0,697,276,0,136309,1308,372,705,1270,13,1260,1,27,349,348,1284,1,136319,24,290
mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,1600,64,129,2,0,2,0,807,725,0,241043,1521,429,816,1495,14,1469,2,14,391,390,1495,1,250157,39,340
mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,1630,65,134,2,0,2,0,808,762,0,241732,1522,430,845,1498,14,1471,2,13,391,390,1497,1,250858,40,338
mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,2020,72,144,2,0,2,0,926,885,0,323475,1751,491,966,1725,15,1696,2,14,449,448,1724,1,334848,43,392
mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0,4,9,2,0,2,0,15,2,0,32,21,9,12,19,2,17,2,2,NA,6,19,NA,38,NA,4
mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,10,4,9,2,0,2,0,15,2,0,32,21,9,12,19,2,17,2,2,NA,6,19,NA,38,NA,4
mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,2410,76,149,2,0,2,0,1051,973,0,423523,1995,555,1062,1965,16,1935,2,16,511,510,1965,1,437465,45,452
mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,2540,76,149,2,0,2,0,1051,972,0,423522,1995,555,1062,1965,16,1935,2,16,511,510,1965,1,437460,45,452
mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,2400,77,154,2,0,2,0,1052,1015,0,424438,1996,556,1095,1968,16,1937,2,15,511,510,1967,1,438393,46,450
